sku,total_volume,mean_demand,std_demand,n_days,nonzero_days,cv,nonzero_pct,forecastable,cumulative_pct,abc_class
SKU_0067,2181027,60.332697095435684,26.741336028493752,36150,36150,0.4432312380498037,1.0,True,0.013156044090816985,A
SKU_0047,2179847,60.30005532503458,26.48938929388113,36150,36150,0.43929295174101796,1.0,True,0.026304970373359625,A
SKU_0010,2176129,60.197206085753805,26.517157094969985,36150,36150,0.4405047811885991,1.0,True,0.03943146952779718,A
SKU_0060,2175688,60.18500691562932,26.559275842959202,36150,36150,0.4412938903569699,1.0,True,0.052555308552193224,A
SKU_0174,2175565,60.181604426002764,26.41307590250158,36150,36150,0.43888952703110784,1.0,True,0.06567840563555727,A
SKU_0111,2175508,60.18002766251729,26.610507860727484,36150,36150,0.44218171533513023,1.0,True,0.07880115889258943,A
SKU_0168,2174967,60.1650622406639,26.682017713397755,36150,36150,0.44348026445427857,1.0,True,0.09192064881548903,A
SKU_0195,2174935,60.16417704011065,26.412767902272904,36150,36150,0.43901153812282456,1.0,True,0.1050399457130795,A
SKU_0158,2174855,60.161964038727525,26.38645915457221,36150,36150,0.4385903880662322,1.0,True,0.11815876004739713,A
SKU_0166,2174721,60.15825726141079,26.516147493660156,36150,36150,0.44077319890496974,1.0,True,0.13127676608823274,A
SKU_0016,2174697,60.157593360995854,26.743148131187574,36150,36150,0.4445514961129899,1.0,True,0.1443946273600865,A
SKU_0104,2174179,60.14326417704011,26.53550932232797,36150,36150,0.4412050075003743,1.0,True,0.1575093640347487,A
SKU_0116,2174088,60.140746887966806,26.557722406705622,36150,36150,0.44159282651043025,1.0,True,0.170623551793688,A
SKU_0186,2174038,60.13936376210235,26.54637352467541,36150,36150,0.441414272849424,1.0,True,0.18373743795058176,A
SKU_0084,2173853,60.13424619640387,26.37592849981204,36150,36150,0.438617429636781,1.0,True,0.19685020817990712,A
SKU_0181,2173611,60.127551867219914,26.171531103754983,36150,36150,0.43526686670280135,1.0,True,0.20996151865533214,A
SKU_0008,2173396,60.12160442600277,26.43486016710964,36150,36150,0.43968986555649014,1.0,True,0.2230715322419614,A
SKU_0073,2172956,60.10943291839558,26.347031426546437,36150,36150,0.4383177505985642,1.0,True,0.23617889173059006,A
SKU_0152,2172841,60.10625172890733,26.57887935507107,36150,36150,0.44219825044069916,1.0,True,0.24928555753451404,A
SKU_0150,2172518,60.09731673582296,26.76846795469948,36150,36150,0.44541868769896786,1.0,True,0.2623902749892239,A
SKU_0062,2172424,60.094716459197784,26.235305038938417,36150,36150,0.43656591768348346,1.0,True,0.2754944254320882,A
SKU_0106,2171815,60.07786998616874,26.42609995656167,36150,36150,0.43986412904860883,1.0,True,0.28859490236203805,A
SKU_0061,2171806,60.07762102351314,26.490000156908973,36150,36150,0.44092957919457787,1.0,True,0.3016953250036197,A
SKU_0143,2171395,60.06625172890733,26.477709195951594,36150,36150,0.4408084146061173,1.0,True,0.3147932684763871,A
SKU_0030,2171262,60.062572614107886,26.747674967202656,36150,36150,0.44533015825099687,1.0,True,0.32789040968771344,A
SKU_0167,2171112,60.05842323651452,26.402592032415317,36150,36150,0.43961513822032844,1.0,True,0.34098664609290325,A
SKU_0027,2170756,60.048575380359615,26.577821785286048,36150,36150,0.442605367686691,1.0,True,0.3540807350915289,A
SKU_0007,2170592,60.0440387275242,26.052692978442106,36150,36150,0.43389308132098625,1.0,True,0.36717383483544525,A
SKU_0151,2170511,60.04179806362379,26.187092365403004,36150,36150,0.436147703932078,1.0,True,0.3802664459840478,A
SKU_0172,2170339,60.03704011065007,26.54461315234124,36150,36150,0.44213727231420336,1.0,True,0.3933580196216138,A
SKU_0147,2170335,60.036929460580915,26.296791646713853,36150,36150,0.4380102693956029,1.0,True,0.40644956913101615,A
SKU_0171,2169782,60.02163208852006,26.390962851677983,36150,36150,0.4396908570022975,1.0,True,0.41953778292179505,A
SKU_0127,2169466,60.01289073305671,26.609185303347992,36150,36150,0.4433911611041749,1.0,True,0.43262409058764617,A
SKU_0048,2168202,59.97792531120332,26.387415102608067,36150,36150,0.4399521151439218,1.0,True,0.44570277375378653,A
SKU_0019,2167396,59.95562932226833,26.20054548333379,36150,36150,0.4369989236957697,1.0,True,0.45877659509495305,A
SKU_0145,2165438,59.90146611341632,26.31710108396257,36150,36150,0.43933984911378066,1.0,True,0.47183860570001684,A
SKU_0059,871191,24.099336099585063,11.373974382787006,36150,36150,0.47196214600213987,1.0,True,0.4770936654528411,A
SKU_0085,870906,24.091452282157675,11.452726606085776,36150,36150,0.4753854799599507,1.0,True,0.4823470060740058,A
SKU_0103,870765,24.08755186721992,11.406249046588234,36150,36150,0.47353293142715275,1.0,True,0.48759949617740217,A
SKU_0096,870351,24.07609958506224,11.247176561661469,36150,36150,0.4671511065122716,1.0,True,0.4928494890158616,A
SKU_0107,869843,24.06204702627939,11.336842292009361,36150,36150,0.4711503671997572,1.0,True,0.49809641757753853,A
SKU_0098,869820,24.061410788381743,11.348243934916438,36150,36150,0.47163668143665266,1.0,True,0.5033432074022745,A
SKU_0139,869691,24.057842323651453,11.379790330929286,36150,36150,0.47301791149166045,1.0,True,0.508589219093733,A
SKU_0182,869418,24.050290456431537,11.216378533923283,36150,36150,0.4663718533562989,1.0,True,0.513833584038023,A
SKU_0105,869365,24.048824343015216,11.344905245009583,36150,36150,0.4717446925136121,1.0,True,0.5190776292841447,A
SKU_0075,869340,24.048132780082987,11.297329368513486,36150,36150,0.46977989816615195,1.0,True,0.5243215237292437,A
