store_id,total_volume,mean_demand,std_demand,n_days,nonzero_days,cv,nonzero_pct,forecastable
STORE_000,3316787,22.937669432918394,22.859650225335187,144600,144497,0.9965986427779259,0.9992876901798063,True
STORE_001,3313293,22.91350622406639,22.717714664800823,144600,144492,0.9914551899062954,0.999253112033195,True
STORE_002,3319542,22.956721991701244,22.778621597450726,144600,144516,0.9922419065616206,0.9994190871369295,True
STORE_003,3310914,22.897053941908712,22.692413549800357,144600,144490,0.9910625885483983,0.9992392807745505,True
STORE_004,3315489,22.928692946058092,22.83346999792294,144600,144484,0.9958469962348411,0.9991977869986168,True
STORE_005,3316444,22.93529737206086,22.817339393387133,144600,144475,0.9948569239473904,0.9991355463347165,True
STORE_006,3314970,22.925103734439833,22.753541301306207,144600,144499,0.9925163944677863,0.9993015214384509,True
STORE_007,3321874,22.972849239280773,22.924853629525828,144600,144492,0.9979107680873612,0.999253112033195,True
STORE_008,3318222,22.94759336099585,22.859532791028936,144600,144484,0.9961625357142423,0.9991977869986168,True
STORE_009,3320824,22.965587828492392,22.905241902355108,144600,144488,0.9973723326139984,0.999225449515906,True
STORE_010,3309522,22.887427385892117,22.71367229415838,144600,144499,0.9924082733806578,0.9993015214384509,True
STORE_011,3316391,22.934930843706777,22.712171992539595,144600,144522,0.9902873545734582,0.999460580912863,True
STORE_012,3316655,22.936756569847855,22.841977807785632,144600,144486,0.9958678219488619,0.9992116182572615,True
STORE_013,3312362,22.90706777316736,22.789771757361887,144600,144509,0.9948794836175904,0.9993706777316735,True
STORE_014,3315767,22.930615491009682,22.866469339619567,144600,144491,0.9972025979234939,0.9992461964038728,True
STORE_015,3319602,22.95713692946058,22.798037163634007,144600,144486,0.9930697034950206,0.9992116182572615,True
STORE_016,3315382,22.927952973720608,22.789193703685658,144600,144491,0.9939480305898223,0.9992461964038728,True
STORE_017,3316249,22.933948824343016,22.866696057721114,144600,144481,0.9970675452737333,0.9991770401106501,True
STORE_018,3314493,22.92180497925311,22.846085644385678,144600,144487,0.9966966242433365,0.9992185338865837,True
STORE_019,3312477,22.90786307053942,22.75320827136729,144600,144470,0.9932488334378502,0.9991009681881051,True
STORE_020,3315056,22.92569847856155,22.83067701345244,144600,144502,0.9958552423081911,0.9993222683264177,True
STORE_021,3310879,22.896811894882433,22.654097565420567,144600,144472,0.9893996452180265,0.9991147994467496,True
STORE_022,3316734,22.937302904564316,22.798442619446188,144600,144504,0.9939460935884272,0.9993360995850622,True
STORE_023,3312791,22.91003457814661,22.747438274109165,144600,144494,0.9929028346298289,0.9992669432918395,True
STORE_024,3316290,22.934232365145228,22.83633846336096,144600,144475,0.9957315378938497,0.9991355463347165,True
STORE_025,3320403,22.962676348547717,22.83443823877986,144600,144498,0.9944153674501462,0.9992946058091287,True
STORE_026,3315116,22.926113416320884,22.761489078485607,144600,144490,0.9928193525502633,0.9992392807745505,True
STORE_027,3315619,22.929591977869986,22.833287125009296,144600,144483,0.9957999752915954,0.9991908713692946,True
STORE_028,3314184,22.91966804979253,22.811098887085116,144600,144493,0.9952630569312108,0.9992600276625173,True
STORE_029,3311754,22.902863070539418,22.798718054433618,144600,144512,0.9954527512221926,0.9993914246196404,True
STORE_030,3311323,22.89988243430152,22.742269795891943,144600,144489,0.9931173166996923,0.9992323651452282,True
STORE_031,3312361,22.907060857538035,22.915803724468148,144600,144494,1.0003816669010697,0.9992669432918395,True
STORE_032,3317990,22.945988934993085,22.884814688990094,144600,144496,0.9973339895623458,0.9992807745504841,True
STORE_033,3314143,22.91938450899032,22.780427073004606,144600,144507,0.9939371218310332,0.999356846473029,True
STORE_034,3317033,22.939370677731674,22.737127654899624,144600,144492,0.9911835845161883,0.999253112033195,True
STORE_035,3320293,22.961915629322267,22.90321445887281,144600,144489,0.9974435421069793,0.9992323651452282,True
STORE_036,3316397,22.934972337482712,22.716673276667965,144600,144469,0.9904818258508217,0.9990940525587828,True
STORE_037,3317462,22.942337482710926,22.848435192358927,144600,144470,0.9959070303789768,0.9991009681881051,True
STORE_038,3315891,22.931473029045645,22.834585792832698,144600,144477,0.9957749231333624,0.999149377593361,True
STORE_039,3319361,22.955470262793913,22.916996999269912,144600,144484,0.9983240045582356,0.9991977869986168,True
STORE_040,3312345,22.90695020746888,22.780512340789507,144600,144492,0.9944803709994467,0.999253112033195,True
STORE_041,3318476,22.949349930843706,22.82285681882669,144600,144497,0.9944881614338448,0.9992876901798063,True
STORE_042,3323903,22.986881051175658,22.974001771277447,144600,144488,0.999439711726461,0.999225449515906,True
STORE_043,3311159,22.898748271092668,22.707610518121296,144600,144474,0.9916529169756994,0.9991286307053941,True
STORE_044,3314812,22.924011065006916,22.759200260687702,144600,144503,0.9928105599036814,0.99932918395574,True
STORE_045,3319568,22.956901798063623,22.774258125940886,144600,144494,0.992044062664495,0.9992669432918395,True
STORE_046,3314981,22.92517980636238,22.819992913509466,144600,144490,0.9954117309551604,0.9992392807745505,True
STORE_047,3312211,22.906023513139697,22.685062591249558,144600,144505,0.99035358879452,0.9993430152143845,True
STORE_048,3308340,22.879253112033194,22.736083501938516,144600,144495,0.9937423826995743,0.9992738589211618,True
STORE_049,3317235,22.940767634854772,22.863412824684914,144600,144494,0.9966280635678324,0.9992669432918395,True
